Sample Name,Noise Type,Noise Intensity,Compressor,Result,Distance
1093,brown,0.05,GZIP,1093,0.994551
1093,brown,0.05,BZIP2,1093,0.972619
1093,brown,0.05,LZMA,1093,0.966957
1093,brown,0.05,ZSTD,1093,0.991482
1093,brown,0.05,LZ4,1093,0.986383
1093,brown,0.05,LZO,eyesclosed,0.862815
1093,brown,0.05,SNAPPY,eyesclosed,0.872707
1093,brown,0.15,GZIP,1093,0.994551
1093,brown,0.15,BZIP2,1093,0.972619
1093,brown,0.15,LZMA,1093,0.966957
1093,brown,0.15,ZSTD,1093,0.991482
1093,brown,0.15,LZ4,1093,0.986383
1093,brown,0.15,LZO,eyesclosed,0.862815
1093,brown,0.15,SNAPPY,eyesclosed,0.872707
1093,brown,0.1,GZIP,1093,0.994551
1093,brown,0.1,BZIP2,1093,0.972619
1093,brown,0.1,LZMA,1093,0.966957
1093,brown,0.1,ZSTD,1093,0.991482
1093,brown,0.1,LZ4,1093,0.986383
1093,brown,0.1,LZO,eyesclosed,0.862815
1093,brown,0.1,SNAPPY,eyesclosed,0.872707
1093,brown,0.25,GZIP,1093,0.994551
1093,brown,0.25,BZIP2,1093,0.972619
1093,brown,0.25,LZMA,1093,0.966957
1093,brown,0.25,ZSTD,1093,0.991482
1093,brown,0.25,LZ4,1093,0.986383
1093,brown,0.25,LZO,eyesclosed,0.862815
1093,brown,0.25,SNAPPY,eyesclosed,0.872707
1093,brown,0.2,GZIP,1093,0.994551
1093,brown,0.2,BZIP2,1093,0.972619
1093,brown,0.2,LZMA,1093,0.966957
1093,brown,0.2,ZSTD,1093,0.991482
1093,brown,0.2,LZ4,1093,0.986383
1093,brown,0.2,LZO,eyesclosed,0.862815
1093,brown,0.2,SNAPPY,eyesclosed,0.872707
1093,pink,0.05,GZIP,1093,0.994551
1093,pink,0.05,BZIP2,1093,0.972619
1093,pink,0.05,LZMA,1093,0.966957
1093,pink,0.05,ZSTD,1093,0.991482
1093,pink,0.05,LZ4,1093,0.986383
1093,pink,0.05,LZO,eyesclosed,0.862815
1093,pink,0.05,SNAPPY,eyesclosed,0.872707
1093,pink,0.15,GZIP,1093,0.994551
1093,pink,0.15,BZIP2,1093,0.972619
1093,pink,0.15,LZMA,1093,0.966957
1093,pink,0.15,ZSTD,1093,0.991482
1093,pink,0.15,LZ4,1093,0.986383
1093,pink,0.15,LZO,eyesclosed,0.862815
1093,pink,0.15,SNAPPY,eyesclosed,0.872707
1093,pink,0.1,GZIP,1093,0.994551
1093,pink,0.1,BZIP2,1093,0.972619
1093,pink,0.1,LZMA,1093,0.966957
1093,pink,0.1,ZSTD,1093,0.991482
1093,pink,0.1,LZ4,1093,0.986383
1093,pink,0.1,LZO,eyesclosed,0.862815
1093,pink,0.1,SNAPPY,eyesclosed,0.872707
1093,pink,0.25,GZIP,1093,0.994551
1093,pink,0.25,BZIP2,1093,0.972619
1093,pink,0.25,LZMA,1093,0.966957
1093,pink,0.25,ZSTD,1093,0.991482
1093,pink,0.25,LZ4,1093,0.986383
1093,pink,0.25,LZO,eyesclosed,0.862815
1093,pink,0.25,SNAPPY,eyesclosed,0.872707
1093,pink,0.2,GZIP,1093,0.994551
1093,pink,0.2,BZIP2,1093,0.972619
1093,pink,0.2,LZMA,1093,0.966957
1093,pink,0.2,ZSTD,1093,0.991482
1093,pink,0.2,LZ4,1093,0.986383
1093,pink,0.2,LZO,eyesclosed,0.862815
1093,pink,0.2,SNAPPY,eyesclosed,0.872707
1093,white,0.05,GZIP,1093,0.994551
1093,white,0.05,BZIP2,1093,0.972619
1093,white,0.05,LZMA,1093,0.966957
1093,white,0.05,ZSTD,1093,0.991482
1093,white,0.05,LZ4,1093,0.986383
1093,white,0.05,LZO,eyesclosed,0.862815
1093,white,0.05,SNAPPY,eyesclosed,0.872707
1093,white,0.15,GZIP,1093,0.994551
1093,white,0.15,BZIP2,1093,0.972619
1093,white,0.15,LZMA,1093,0.966957
1093,white,0.15,ZSTD,1093,0.991482
1093,white,0.15,LZ4,1093,0.986383
1093,white,0.15,LZO,eyesclosed,0.862815
1093,white,0.15,SNAPPY,eyesclosed,0.872707
1093,white,0.1,GZIP,1093,0.994551
1093,white,0.1,BZIP2,1093,0.972619
1093,white,0.1,LZMA,1093,0.966957
1093,white,0.1,ZSTD,1093,0.991482
1093,white,0.1,LZ4,1093,0.986383
1093,white,0.1,LZO,eyesclosed,0.862815
1093,white,0.1,SNAPPY,eyesclosed,0.872707
1093,white,0.25,GZIP,1093,0.994551
1093,white,0.25,BZIP2,1093,0.972619
1093,white,0.25,LZMA,1093,0.966957
1093,white,0.25,ZSTD,1093,0.991482
1093,white,0.25,LZ4,1093,0.986383
1093,white,0.25,LZO,eyesclosed,0.862815
1093,white,0.25,SNAPPY,eyesclosed,0.872707
1093,white,0.2,GZIP,1093,0.994551
1093,white,0.2,BZIP2,1093,0.972619
1093,white,0.2,LZMA,1093,0.966957
1093,white,0.2,ZSTD,1093,0.991482
1093,white,0.2,LZ4,1093,0.986383
1093,white,0.2,LZO,eyesclosed,0.862815
1093,white,0.2,SNAPPY,eyesclosed,0.872707
angry,brown,0.05,GZIP,angry,0.990476
angry,brown,0.05,BZIP2,angry,0.987792
angry,brown,0.05,LZMA,angry,0.972896
angry,brown,0.05,ZSTD,angry,0.987118
angry,brown,0.05,LZ4,angry,0.991001
angry,brown,0.05,LZO,eyesclosed,0.95125
angry,brown,0.05,SNAPPY,eyesclosed,0.872754
angry,brown,0.15,GZIP,angry,0.990476
angry,brown,0.15,BZIP2,angry,0.987792
angry,brown,0.15,LZMA,angry,0.972896
angry,brown,0.15,ZSTD,angry,0.987118
angry,brown,0.15,LZ4,angry,0.991001
angry,brown,0.15,LZO,eyesclosed,0.95125
angry,brown,0.15,SNAPPY,eyesclosed,0.872754
angry,brown,0.1,GZIP,angry,0.990476
angry,brown,0.1,BZIP2,angry,0.987792
angry,brown,0.1,LZMA,angry,0.972896
angry,brown,0.1,ZSTD,angry,0.987118
angry,brown,0.1,LZ4,angry,0.991001
angry,brown,0.1,LZO,eyesclosed,0.95125
angry,brown,0.1,SNAPPY,eyesclosed,0.872754
angry,brown,0.25,GZIP,angry,0.990476
angry,brown,0.25,BZIP2,angry,0.987323
angry,brown,0.25,LZMA,angry,0.972328
angry,brown,0.25,ZSTD,angry,0.987118
angry,brown,0.25,LZ4,angry,0.991001
angry,brown,0.25,LZO,eyesclosed,0.95125
angry,brown,0.25,SNAPPY,eyesclosed,0.872427
angry,brown,0.2,GZIP,angry,0.990476
angry,brown,0.2,BZIP2,angry,0.987323
angry,brown,0.2,LZMA,angry,0.972328
angry,brown,0.2,ZSTD,angry,0.987118
angry,brown,0.2,LZ4,angry,0.991001
angry,brown,0.2,LZO,eyesclosed,0.95125
angry,brown,0.2,SNAPPY,eyesclosed,0.872427
angry,pink,0.05,GZIP,angry,0.990476
angry,pink,0.05,BZIP2,angry,0.987792
angry,pink,0.05,LZMA,angry,0.972896
angry,pink,0.05,ZSTD,angry,0.987118
angry,pink,0.05,LZ4,angry,0.991001
angry,pink,0.05,LZO,eyesclosed,0.95125
angry,pink,0.05,SNAPPY,eyesclosed,0.872754
angry,pink,0.15,GZIP,angry,0.990476
angry,pink,0.15,BZIP2,angry,0.987792
angry,pink,0.15,LZMA,angry,0.972896
angry,pink,0.15,ZSTD,angry,0.987118
angry,pink,0.15,LZ4,angry,0.991001
angry,pink,0.15,LZO,eyesclosed,0.95125
angry,pink,0.15,SNAPPY,eyesclosed,0.872754
angry,pink,0.1,GZIP,angry,0.990476
angry,pink,0.1,BZIP2,angry,0.987792
angry,pink,0.1,LZMA,angry,0.972896
angry,pink,0.1,ZSTD,angry,0.987118
angry,pink,0.1,LZ4,angry,0.991001
angry,pink,0.1,LZO,eyesclosed,0.95125
angry,pink,0.1,SNAPPY,eyesclosed,0.872754
angry,pink,0.25,GZIP,angry,0.990476
angry,pink,0.25,BZIP2,angry,0.987792
angry,pink,0.25,LZMA,angry,0.972896
angry,pink,0.25,ZSTD,angry,0.987118
angry,pink,0.25,LZ4,angry,0.991001
angry,pink,0.25,LZO,eyesclosed,0.95125
angry,pink,0.25,SNAPPY,eyesclosed,0.872754
angry,pink,0.2,GZIP,angry,0.990476
angry,pink,0.2,BZIP2,angry,0.987792
angry,pink,0.2,LZMA,angry,0.972896
angry,pink,0.2,ZSTD,angry,0.987118
angry,pink,0.2,LZ4,angry,0.991001
angry,pink,0.2,LZO,eyesclosed,0.95125
angry,pink,0.2,SNAPPY,eyesclosed,0.872754
angry,white,0.05,GZIP,angry,0.990476
angry,white,0.05,BZIP2,angry,0.987792
angry,white,0.05,LZMA,angry,0.972896
angry,white,0.05,ZSTD,angry,0.987118
angry,white,0.05,LZ4,angry,0.991001
angry,white,0.05,LZO,eyesclosed,0.95125
angry,white,0.05,SNAPPY,eyesclosed,0.872754
angry,white,0.15,GZIP,angry,0.990476
angry,white,0.15,BZIP2,angry,0.987792
angry,white,0.15,LZMA,angry,0.972896
angry,white,0.15,ZSTD,angry,0.987118
angry,white,0.15,LZ4,angry,0.991001
angry,white,0.15,LZO,eyesclosed,0.95125
angry,white,0.15,SNAPPY,eyesclosed,0.872754
angry,white,0.1,GZIP,angry,0.990476
angry,white,0.1,BZIP2,angry,0.987792
angry,white,0.1,LZMA,angry,0.972896
angry,white,0.1,ZSTD,angry,0.987118
angry,white,0.1,LZ4,angry,0.991001
angry,white,0.1,LZO,eyesclosed,0.95125
angry,white,0.1,SNAPPY,eyesclosed,0.872754
angry,white,0.25,GZIP,angry,0.990476
angry,white,0.25,BZIP2,angry,0.987792
angry,white,0.25,LZMA,angry,0.972896
angry,white,0.25,ZSTD,angry,0.987118
angry,white,0.25,LZ4,angry,0.991001
angry,white,0.25,LZO,eyesclosed,0.95125
angry,white,0.25,SNAPPY,eyesclosed,0.872754
angry,white,0.2,GZIP,angry,0.990476
angry,white,0.2,BZIP2,angry,0.987792
angry,white,0.2,LZMA,angry,0.972896
angry,white,0.2,ZSTD,angry,0.987118
angry,white,0.2,LZ4,angry,0.991001
angry,white,0.2,LZO,eyesclosed,0.95125
angry,white,0.2,SNAPPY,eyesclosed,0.872754
bigfoot,brown,0.05,GZIP,bigfoot,0.990702
bigfoot,brown,0.05,BZIP2,bigfoot,0.988403
bigfoot,brown,0.05,LZMA,bigfoot,0.978028
bigfoot,brown,0.05,ZSTD,bigfoot,0.985327
bigfoot,brown,0.05,LZ4,f33llik3dyin,0.997813
bigfoot,brown,0.05,LZO,goodiebag,0.907295
bigfoot,brown,0.05,SNAPPY,bigfoot,0.930053
bigfoot,brown,0.15,GZIP,bigfoot,0.990702
bigfoot,brown,0.15,BZIP2,bigfoot,0.988403
bigfoot,brown,0.15,LZMA,bigfoot,0.978028
bigfoot,brown,0.15,ZSTD,bigfoot,0.985327
bigfoot,brown,0.15,LZ4,f33llik3dyin,0.997813
bigfoot,brown,0.15,LZO,goodiebag,0.907295
bigfoot,brown,0.15,SNAPPY,bigfoot,0.930053
bigfoot,brown,0.1,GZIP,bigfoot,0.990702
bigfoot,brown,0.1,BZIP2,bigfoot,0.988403
bigfoot,brown,0.1,LZMA,bigfoot,0.978028
bigfoot,brown,0.1,ZSTD,bigfoot,0.985327
bigfoot,brown,0.1,LZ4,f33llik3dyin,0.997813
bigfoot,brown,0.1,LZO,goodiebag,0.907295
bigfoot,brown,0.1,SNAPPY,bigfoot,0.930053
bigfoot,brown,0.25,GZIP,bigfoot,0.990702
bigfoot,brown,0.25,BZIP2,bigfoot,0.988403
bigfoot,brown,0.25,LZMA,bigfoot,0.978028
bigfoot,brown,0.25,ZSTD,bigfoot,0.985327
bigfoot,brown,0.25,LZ4,f33llik3dyin,0.997813
bigfoot,brown,0.25,LZO,goodiebag,0.907295
bigfoot,brown,0.25,SNAPPY,bigfoot,0.930053
bigfoot,brown,0.2,GZIP,bigfoot,0.990702
bigfoot,brown,0.2,BZIP2,bigfoot,0.988403
bigfoot,brown,0.2,LZMA,bigfoot,0.978028
bigfoot,brown,0.2,ZSTD,bigfoot,0.985327
bigfoot,brown,0.2,LZ4,f33llik3dyin,0.997813
bigfoot,brown,0.2,LZO,goodiebag,0.907295
bigfoot,brown,0.2,SNAPPY,bigfoot,0.930053
bigfoot,pink,0.05,GZIP,bigfoot,0.990702
bigfoot,pink,0.05,BZIP2,bigfoot,0.988403
